Date,AAPL,SMA_AAPL,TSLA,SMA_TSLA
2019-04-30,48.98173141479492,48.121228535970054,47.737998962402344,53.6059331258138
2019-05-01,51.38602828979492,48.31641985575358,46.801998138427734,53.38286641438802
2019-05-02,51.05162048339844,48.48720194498698,48.81999969482422,53.18619969685872
2019-05-03,51.68626022338867,48.62275377909342,51.00600051879883,53.05959968566894
2019-05-06,50.88808059692383,48.764570490519205,51.06800079345703,52.9983331044515
2019-05-07,49.516292572021484,48.879455947875975,49.4119987487793,52.9092664082845
2019-05-08,49.52605438232422,49.010532760620116,48.96799850463867,52.756399663289386
2019-05-09,48.99393844604492,49.11020329793294,48.395999908447266,52.53739967346191
2019-05-10,48.31520080566406,49.185215123494466,47.90399932861328,52.276733016967775
2019-05-13,45.50714874267578,49.15661773681641,45.402000427246094,51.92439969380697
